# ::id 25441004
# ::tok Es fehlte also der ›Abraham Lincoln‹ nicht an Mord mitteln .
# ::alignments 1-1.1.2 2-1.2 3-1.1.3.1 4-1.1.3.2 5-1.1.3.2 6-1.1.4 7-1.1.5.1 8-1.1.5.2 9-1.1.5.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :P (v4 / label~e.1)
           :A (v5 / label
                  :E (v8 / label~e.3)
                  :C (v9 / label~e.4,5))
           :D (v6 / label~e.6)
           :A (v7 / label
                  :R (v10 / label~e.7)
                  :E (v11 / label~e.8)
                  :C (v12 / label~e.9)))
    :L (v3 / label~e.2))
