# ::id 25483000
# ::tok Der Ingenieur gehorchte. Das Manometer wies 10 Atmosphären. Aber das Ungeheuer »heizte« ohne Zweifel ebenfalls, denn es fuhr ganz leicht auch seine 19,3 Meilen. Welch ein Verfolgen! Die Gemüts bewegung, die mein ganzes Wesen ergriff, läßt sich nicht beschreiben. Einigemal konnte man dem Tier nah kommen. »Wir bekommen es! Wir bekommen es«, rief der Kanadier. Dann, sowie er im Begriff war zu werfen, entwischte es mit einer Schnelligkeit, die mindestens auf 30 Meilen die Stunde sich schätzen ließ. Und selbst bei unserer höchsten Schnelligkeit erlaubte es sich, die Fregatte durch sein Spiel zu höhnen! Um 12 Uhr waren wir noch nicht weiter als um 8. Nun entschloß sich Kommandant Farragut zu direkteren Mitteln.
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.2 3-1.2.1.1 4-1.2.1.2 5-1.2.2 6-1.2.3.1 7-1.2.3.2 8-1.3 9-1.4.1.1 10-1.4.1.2 11-1.4.2 12-1.4.3.1 13-1.4.3.2 14-1.4.4 15-1.5 16-1.6.1 17-1.6.2 18-1.6.3.1 19-1.6.3.2 20-1.6.4 21-1.6.5.1 22-1.6.5.2 23-1.6.5.3 24-1.7.2.1 25-1.7.2.2 26-1.7.2.3.2 27-1.8.1.2 28-1.8.1.3 29-1.8.1.4 30-1.8.1.1.1 31-1.8.1.1.2.1 32-1.8.1.1.2.2 33-1.8.1.1.2.3 34-1.8.1.1.3 35-1.8.2 36-1.8.3 37-1.8.4 38-1.8.3 39-1.9.1 40-1.9.2 41-1.9.3 42-1.9.4.1 43-1.9.4.2 44-1.9.5 45-1.9.5 46-1.10.1.1.1 47-1.10.1.1.2 48-1.10.1.1.3 49-1.10.1.2.1 50-1.10.1.2.2 51-1.10.1.2.3 52-1.10.2 53-1.10.3.1 54-1.10.3.2 55-1.11 56-1.12 57-1.13.1 58-1.13.2.1 59-1.13.2.2 62-1.13.4 63-1.14.1 64-1.14.2 65-1.14.3.2 66-1.14.3.3 67-1.14.3.4 68-1.14.3.1.1 69-1.14.3.1.2 70-1.14.3.1.3.1 71-1.14.3.1.3.2 72-1.14.3.1.3.3 73-1.14.3.1.3.3 74-1.14.3.1.3.3 75-1.14.3.1.4 76-1.14.3.1.4 77-1.14.3.1.5 78-1.15 79-1.16.1 80-1.16.2.1 81-1.16.2.2 82-1.16.2.3 83-1.16.2.4 84-1.16.3 85-1.16.4 86-1.16.3 87-1.16.5.2.1 88-1.16.5.2.2 89-1.16.5.3.1 90-1.16.5.3.2 91-1.16.5.3.3 93-1.16.5.5 94-1.17.1.1 95-1.17.1.2 96-1.17.1.3 97-1.18.3 98-1.17.3 99-1.17.4.1 100-1.17.4.2 101-1.17.5 102-1.18.1 103-1.18.2.1 104-1.18.2.2 105-1.19 106-1.20.1 107-1.20.1 108-1.20.2.1 109-1.20.2.2 110-1.20.3.1 111-1.20.3.2 112-1.20.3.3
(v1 / label
    :H (v2 / label
           :A (v22 / label
                   :E (v71 / label~e.0)
                   :C (v72 / label~e.1))
           :P (v23 / label~e.2))
    :H (v3 / label
           :A (v24 / label
                   :E (v73 / label~e.3)
                   :C (v74 / label~e.4))
           :S (v25 / label~e.5)
           :A (v26 / label
                   :E (v75 / label~e.6)
                   :C (v76 / label~e.7)))
    :L (v4 / label~e.8)
    :H (v5 / label
           :A (v27 / label
                   :E (v77 / label~e.9)
                   :C (v78 / label~e.10))
           :P (v28 / label~e.11)
           :A (v29 / label
                   :E (v79 / label~e.12)
                   :C (v80 / label~e.13))
           :D (v30 / label~e.14))
    :L (v6 / label~e.15)
    :H (v7 / label
           :A (v31 / label~e.16)
           :P (v32 / label~e.17)
           :D (v33 / label
                   :E (v81 / label~e.18)
                   :C (v82 / label~e.19))
           :D (v34 / label~e.20)
           :A (v35 / label
                   :E (v83 / label~e.21)
                   :E (v84 / label~e.22)
                   :C (v85 / label~e.23)))
    :H (v8 / label
           :S (v36 / label)
           :A (v37 / label
                   :E (v86 / label~e.24)
                   :E (v87 / label~e.25)
                   :C (v88 / label
                           :A (v125 / label)
                           :P (v126 / label~e.26))))
    :H (v9 / label
           :A (v38 / label
                   :E (v89 / label
                           :R (v127 / label~e.30)
                           :A (v128 / label
                                    :E (v146 / label~e.31)
                                    :E (v147 / label~e.32)
                                    :C (v148 / label~e.33))
                           :P (v129 / label~e.34)
                           :A (v92 / label~e.29))
                   :E (v90 / label~e.27)
                   :E (v91 / label~e.28)
                   :C v92)
           :D (v39 / label~e.35)
           :P (v40 / label~e.36,38)
           :D (v41 / label~e.37))
    :H (v10 / label
            :A (v42 / label~e.39)
            :D (v43 / label~e.40)
            :A (v44 / label~e.41)
            :A (v45 / label
                    :E (v93 / label~e.42)
                    :C (v94 / label~e.43))
            :P (v46 / label~e.44,45))
    :H (v11 / label
            :A (v47 / label
                    :H (v95 / label
                            :A (v130 / label~e.46)
                            :P (v131 / label~e.47)
                            :A (v132 / label~e.48))
                    :H (v96 / label
                            :A (v133 / label~e.49)
                            :P (v134 / label~e.50)
                            :A (v135 / label~e.51)))
            :P (v48 / label~e.52)
            :A (v49 / label
                    :E (v97 / label~e.53)
                    :C (v98 / label~e.54)))
    :L (v12 / label~e.55)
    :L (v13 / label~e.56)
    :H (v14 / label
            :A (v50 / label~e.57)
            :D (v51 / label
                    :E (v99 / label~e.58)
                    :C (v100 / label~e.59))
            :P (v52 / label~e.62))
    :H (v15 / label
            :P (v53 / label~e.63)
            :A (v54 / label~e.64)
            :A (v55 / label
                    :E (v101 / label
                             :R (v136 / label~e.68)
                             :D (v137 / label~e.69)
                             :A (v138 / label
                                      :R (v149 / label~e.70)
                                      :E (v150 / label~e.71)
                                      :C (v151 / label~e.72,73,74))
                             :P (v139 / label~e.75,76)
                             :D (v140 / label~e.77)
                             :A (v104 / label~e.67))
                    :R (v102 / label~e.65)
