# ::id 25517021
# ::tok Und sogar , will ich rascher zur Oberfläche emporsteigen , so hemme ich die Schraube , und der Druck des Wassers treibt die ›Nautilus‹ vertikal empor , wie ein mit Gas gefüllter Ballon reißend schnell in die Lüfte steigt.«
# ::alignments 0-1.1 1-1.2.1 3-1.2.2 4-1.2.3 5-1.2.4 6-1.2.5.1 7-1.2.5.2 8-1.2.6 10-1.3 11-1.4.1 12-1.4.2 13-1.4.3.1 14-1.4.3.2 16-1.5 17-1.6.1.2 18-1.6.1.3 19-1.6.1.1.1 20-1.6.1.1.2 21-1.6.2 22-1.6.3.1 23-1.6.3.2 24-1.6.4 25-1.6.5 27-1.7 28-1.8.1.2 29-1.8.1.1.1 30-1.8.1.1.2 31-1.8.1.1.3 32-1.8.1.3 33-1.8.2.1 34-1.8.2.2 35-1.8.3.1 36-1.8.3.2 37-1.8.3.3 38-1.8.4
# ::format ucca
(v1 / label
    :L (v2 / label~e.0)
    :H (v3 / label
           :D (v10 / label~e.1)
           :D (v11 / label~e.3)
           :A (v12 / label~e.4)
           :D (v13 / label~e.5)
           :A (v14 / label
                   :R (v28 / label~e.6)
                   :C (v29 / label~e.7))
           :P (v15 / label~e.8))
    :L (v4 / label~e.10)
    :H (v5 / label
           :P (v16 / label~e.11)
           :A (v17 / label~e.12)
           :A (v18 / label
                   :E (v30 / label~e.13)
                   :C (v31 / label~e.14)))
    :L (v6 / label~e.16)
    :H (v7 / label
           :A (v19 / label
                   :E (v32 / label
                           :R (v45 / label~e.19)
                           :C (v46 / label~e.20))
                   :E (v33 / label~e.17)
                   :C (v34 / label~e.18))
           :P (v20 / label~e.21)
           :A (v21 / label
                   :E (v35 / label~e.22)
                   :C (v36 / label~e.23))
           :D (v22 / label~e.24)
           :D (v23 / label~e.25))
    :L (v8 / label~e.27)
    :H (v9 / label
           :A (v24 / label
                   :E (v37 / label
                           :R (v47 / label~e.29)
                           :A (v48 / label~e.30)
                           :S (v49 / label~e.31)
                           :A (v39 / label~e.32))
                   :E (v38 / label~e.28)
                   :C v39)
           :D (v25 / label
                   :E (v40 / label~e.33)
                   :C (v41 / label~e.34))
           :A (v26 / label
                   :R (v42 / label~e.35)
                   :E (v43 / label~e.36)
                   :C (v44 / label~e.37))
           :P (v27 / label~e.38)))
