# ::id 25593017
# ::tok Er wartete , bis ich wieder bei ihm war , und zeigte mir mit dem Finger einige dunkle Massen , die nicht weit von dort im Schatten hervortraten .
# ::alignments 0-1.1.1 1-1.1.2 3-1.2 4-1.3.1 5-1.3.2 6-1.3.3.1 7-1.3.3.2 8-1.3.4 10-1.4 11-1.5.1 12-1.5.2 13-1.5.3.1 14-1.5.3.2 15-1.5.3.3 16-1.5.4.2 17-1.5.4.3 18-1.5.4.4 20-1.5.4.1.1 21-1.5.4.1.2.1 22-1.5.4.1.2.2 23-1.5.4.1.3.1 24-1.5.4.1.3.2 25-1.5.4.1.4.1 26-1.5.4.1.4.2 27-1.5.4.1.5
(v1 / label
    :H (v2 / label
           :A (v7 / label~e.0)
           :P (v8 / label~e.1))
    :L (v3 / label~e.3)
    :H (v4 / label
           :A (v9 / label~e.4)
           :D (v10 / label~e.5)
           :A (v11 / label
                   :R (v17 / label~e.6)
                   :C (v18 / label~e.7))
           :S (v12 / label~e.8))
    :L (v5 / label~e.10)
    :H (v6 / label
           :P (v13 / label~e.11)
           :A (v14 / label~e.12)
           :A (v15 / label
                   :R (v19 / label~e.13)
                   :E (v20 / label~e.14)
                   :C (v21 / label~e.15))
           :A (v16 / label
                   :E (v22 / label
                           :R (v26 / label~e.20)
                           :D (v27 / label
                                   :E (v31 / label~e.21)
                                   :C (v32 / label~e.22))
                           :A (v28 / label
                                   :R (v33 / label~e.23)
                                   :C (v34 / label~e.24))
                           :A (v29 / label
                                   :R (v35 / label~e.25)
                                   :C (v36 / label~e.26))
                           :P (v30 / label~e.27)
                           :A (v25 / label~e.18))
                   :E (v23 / label~e.16)
                   :E (v24 / label~e.17)
                   :C v25)
           :A v7))
