# ::id 25603011
# ::tok Einmal jedoch , ich weiß nicht aus welcher Laune , kam er bis in die 2.000 Meter tiefen Schichten .
# ::alignments 0-1.1.1 1-1.1.2 3-1.2.2 4-1.2.3 5-1.2.4 6-1.2.1.1 7-1.2.1.2 8-1.2.1.3 10-1.1.3 11-1.1.4 12-1.1.5.1 13-1.1.5.2 15-1.1.5.5.2.1 16-1.1.5.5.2.2 17-1.1.5.5.3 18-1.1.5.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v4 / label~e.0)
           :G (v5 / label~e.1)
           :P (v6 / label~e.10)
           :A (v7 / label~e.11)
           :A (v8 / label
                  :R (v13 / label~e.12)
                  :R (v14 / label~e.13)
                  :C (v15 / label~e.18)
                  :E (v16 / label
                          :A v15
                          :A (v20 / label
                                  :Q (v22 / label~e.15)
                                  :C (v23 / label~e.16))
                          :S (v21 / label~e.17))))
    :H (v3 / label
           :A (v9 / label
                  :R (v17 / label~e.6)
                  :E (v18 / label~e.7)
                  :C (v19 / label~e.8))
           :A (v10 / label~e.3)
           :P (v11 / label~e.4)
           :D (v12 / label~e.5)))
