# ::id 25710005
# ::tok Vielleicht hier , vielleicht in China . Sie wissen , die ›Nautilus‹ fährt reißend schnell . Sie fliegt durch die Ozeane wie eine Schwalbe durch die Lüfte oder ein Eilzug über die Kontinente . Sie scheut sich nicht vor den befahrenen Meeren . Wer sagt uns , dass sie nicht einmal an die Küsten Frankreichs , Englands oder Amerikas kommen wird , wo eine Flucht mit ebensoviel Vorteil unternommen werden kann wie hier ? « »
# ::alignments 0-1.1.3.20.2 1-1.1.3.20.3 3-1.1.3.1.1 4-1.1.3.1.2.1 5-1.1.3.1.2.2 7-1.1.3.4.2 8-1.1.3.4.3 10-1.1.3.4.4.1.1 11-1.1.3.4.4.1.2 12-1.1.3.4.4.2 13-1.1.3.4.4.3.1 14-1.1.3.4.4.3.2 16-1.1.3.9.1 17-1.1.3.9.2 18-1.1.3.9.3.1 19-1.1.3.9.3.2 20-1.1.3.9.3.3 21-1.1.3.10 22-1.1.3.11.1.1 23-1.1.3.11.1.2 24-1.1.3.11.2.1 25-1.1.3.11.2.2 26-1.1.3.11.2.3 27-1.1.3.12 28-1.1.3.13.1.1 29-1.1.3.13.1.2 30-1.1.3.13.2.1 31-1.1.3.13.2.2 32-1.1.3.13.2.3 34-1.1.3.14.1 35-1.1.3.14.2 36-1.1.3.14.2 37-1.1.3.14.3 38-1.1.3.14.4.1 39-1.1.3.14.4.2 40-1.1.3.14.4.3 41-1.1.3.14.4.4 43-1.1.3.15.2 44-1.1.3.15.3 45-1.1.3.15.4 47-1.1.3.15.5.1 48-1.1.3.15.5.2 49-1.1.3.15.5.3 50-1.1.3.15.5.3 51-1.1.3.15.5.4.1 52-1.1.3.15.5.4.2 53-1.1.3.15.5.4.3 54-1.1.3.15.5.4.4.2 56-1.1.3.15.5.4.4.3 57-1.1.3.15.5.4.4.4 58-1.1.3.15.5.4.4.5 59-1.1.3.15.5.5 62-1.1.3.16 63-1.1.3.17.1.1 64-1.1.3.19.6 65-1.1.3.17.2.1 66-1.1.3.17.2.2 67-1.1.3.17.2.3 68-1.1.3.17.3 70-1.1.3.17.5 71-1.1.3.18 72-1.1.3.19.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label)
           :P (v4 / label)
           :A (v5 / label
                  :H (v6 / label
                         :D (v20 / label~e.3)
                         :A (v21 / label
                                 :R (v50 / label~e.4)
                                 :C (v51 / label~e.5))
                         :P (v22 / label))
                  :H (v7 / label
                         :A (v23 / label~e.7)
                         :P (v24 / label~e.8)
                         :A (v25 / label
                                 :A (v52 / label
                                         :E (v81 / label~e.10)
                                         :C (v82 / label~e.11))
                                 :P (v53 / label~e.12)
                                 :D (v54 / label
                                         :E (v83 / label~e.13)
                                         :C (v84 / label~e.14))))
                  :H (v8 / label
                         :A (v26 / label~e.16)
                         :P (v27 / label~e.17)
                         :A (v28 / label
                                 :R (v55 / label~e.18)
                                 :E (v56 / label~e.19)
                                 :C (v57 / label~e.20)))
                  :L (v9 / label~e.21)
                  :H (v10 / label
                          :A (v29 / label
                                  :E (v58 / label~e.22)
                                  :C (v59 / label~e.23))
                          :A (v30 / label
                                  :R (v60 / label~e.24)
                                  :E (v61 / label~e.25)
                                  :C (v62 / label~e.26))
                          :P v27)
                  :L (v11 / label~e.27)
                  :H (v12 / label
                          :A (v31 / label
                                  :E (v63 / label~e.28)
                                  :C (v64 / label~e.29))
                          :A (v32 / label
                                  :R (v65 / label~e.30)
                                  :E (v66 / label~e.31)
                                  :C (v67 / label~e.32))
                          :P v27)
                  :H (v13 / label
                          :A (v33 / label~e.34)
                          :P (v34 / label~e.35,36)
                          :D (v35 / label~e.37)
                          :A (v36 / label
                                  :R (v68 / label~e.38)
                                  :E (v69 / label~e.39)
                                  :E (v70 / label~e.40)
                                  :C (v71 / label~e.41)))
                  :H (v14 / label
                          :A (v37 / label~e.43)
                          :P (v38 / label~e.44)
                          :A (v39 / label~e.45)
                          :A (v40 / label
                                  :R (v72 / label~e.47)
                                  :A (v73 / label~e.48)
                                  :D (v74 / label~e.49,50)
                                  :A (v75 / label
                                          :R (v85 / label~e.51)
                                          :E (v86 / label~e.52)
                                          :C (v87 / label~e.53)
                                          :E (v88 / label
                                                  :C (v89 / label~e.54)
                                                  :C (v90 / label~e.56)
                                                  :N (v91 / label~e.57)
                                                  :C (v92 / label~e.58)))
                                  :P (v76 / label~e.59)))
                  :L (v15 / label~e.62)
                  :H (v16 / label
                          :A (v41 / label
                                  :E (v77 / label~e.63)
                                  :C (v46 / label~e.64))
                          :A (v42 / label
                                  :R (v78 / label~e.65)
                                  :E (v79 / label~e.66)
                                  :C (v80 / label~e.67))
                          :P (v43 / label~e.68)
                          :D (v44 / label~e.70))
                  :L (v17 / label~e.71)
                  :H (v18 / label
                          :A (v45 / label~e.72)
                          :P v43
                          :A v46)
                  :H (v19 / label
                          :P (v47 / label)
                          :D (v48 / label~e.0)
                          :A (v49 / label~e.1)))))
