# ::id 25720010
# ::tok Die ungeheure Wasser fläche umfaßt 25 Millionen Quadratmeilen , bei einer Länge von 9.000 Meilen gegen eine mittlere Breite von 2.700 Meilen .
# ::alignments 1-1.1.1.2 2-1.1.1.3 3-1.2.3 4-1.1.2 5-1.1.3.1 6-1.1.3.1 7-1.1.3.2 9-1.2.2.1 11-1.2.2.3 12-1.2.2.4.1 13-1.2.2.4.2 14-1.2.2.4.3 15-1.3.3.5 17-1.3.3.2 18-1.3.3.3 19-1.3.3.4.1 20-1.3.3.4.2 21-1.3.3.4.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label
                  :E (v13 / label~e.1)
                  :E (v14 / label~e.2)
                  :C (v10 / label~e.3))
           :S (v6 / label~e.4)
           :A (v7 / label
                  :Q (v15 / label~e.5,6)
                  :C (v16 / label~e.7)))
    :H (v3 / label
           :S (v8 / label)
           :A (v9 / label
                  :R (v17 / label~e.9)
                  :C (v18 / label~e.11)
                  :E (v19 / label
                          :R (v24 / label~e.12)
                          :Q (v25 / label~e.13)
                          :C (v26 / label~e.14)))
           :A v10)
    :H (v4 / label
           :A v10
           :S (v11 / label)
           :A (v12 / label
                   :E (v20 / label~e.17)
                   :C (v21 / label~e.18)
                   :E (v22 / label
                           :R (v27 / label~e.19)
                           :Q (v28 / label~e.20)
                           :C (v29 / label~e.21))
                   :R (v23 / label~e.15))))
