# ::id 25799005
# ::tok Es war Feuerland , ein Haufen Inseln , die sich zwischen 53 und 56° südlicher Breite und 67° 50 ? und 77° 15 ? westlicher Länge , 30 französische Meilen lang und 80 breit , erstrecken .
# ::alignments 1-1.1.2 2-1.1.3.2 4-1.1.3.3.3 5-1.1.3.3.4 6-1.1.3.3.5 8-1.1.3.3.1.1 9-1.1.3.3.1.2 10-1.1.3.3.1.3.1 11-1.1.3.3.1.3.2 12-1.1.3.3.1.3.2 13-1.1.3.3.1.3.2 14-1.1.3.3.1.3.2 15-1.1.3.3.1.3.2 16-1.1.3.3.1.3.3 17-1.1.3.3.1.3.4 18-1.1.3.3.1.3.4 20-1.1.3.3.1.3.4 21-1.1.3.3.1.3.4 22-1.1.3.3.1.3.4 24-1.1.3.3.1.3.4 25-1.1.3.3.1.3.4 27-1.1.3.3.1.4.1.1 28-1.1.3.3.1.4.1.1 29-1.1.3.3.1.4.1.1 30-1.1.3.3.1.4.1.2 31-1.1.3.3.1.4.2 32-1.1.3.3.1.4.3.1 33-1.1.3.3.1.4.3.2 35-1.1.3.3.1.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :S (v3 / label~e.1)
           :A (v4 / label
                  :C (v5 / label~e.2)
                  :E (v6 / label
                         :E (v7 / label
                                :R (v11 / label~e.8)
                                :S (v12 / label~e.9,35)
                                :A (v13 / label
                                        :R (v15 / label~e.10)
                                        :C (v16 / label~e.11,12,13,14,15)
                                        :N (v17 / label~e.16)
                                        :C (v18 / label~e.17,18,20,21,22,24,25))
                                :A (v14 / label
                                        :C (v19 / label
                                                :C (v22 / label~e.27,28,29)
                                                :E (v23 / label~e.30))
                                        :N (v20 / label~e.31)
                                        :C (v21 / label
                                                :C (v24 / label~e.32)
                                                :E (v25 / label~e.33)))
                                :A (v10 / label~e.6))
                         :E (v8 / label~e.4)
                         :E (v9 / label~e.5)
                         :C v10))))
