# ::id 25825008
# ::tok Am 17 . Mai , als wir etwa 500 Meilen von Heart's Content entfernt waren , bemerkte ich in einer Tiefe von 2.800 Meter das auf dem Boden liegende Kabel .
# ::alignments 0-1.1.1.1 1-1.1.1.2 3-1.1.1.2 5-1.2 6-1.3.1 7-1.3.2 8-1.3.3.1 9-1.3.3.2 10-1.3.4.1 11-1.3.4.2 12-1.3.4.2 13-1.3.5 16-1.1.2 17-1.1.3 18-1.1.4.1.1 19-1.1.4.1.2 20-1.1.4.1.3 21-1.1.4.1.4 22-1.1.4.2 23-1.1.4.2 24-1.1.5.1 25-1.1.5.2.2.1 26-1.1.5.2.2.2 27-1.1.5.2.2.3 28-1.1.5.2.3 29-1.1.5.3
(v1 / label
    :H (v2 / label
           :T (v5 / label
                  :E (v15 / label~e.0)
                  :C (v16 / label~e.1,3))
           :P (v6 / label~e.16)
           :A (v7 / label~e.17)
           :A (v8 / label
                  :E (v17 / label
                          :R (v26 / label~e.18)
                          :E (v27 / label~e.19)
                          :C (v28 / label~e.20)
                          :R (v29 / label~e.21))
                  :C (v18 / label~e.22,23))
           :A (v9 / label
                  :E (v19 / label~e.24)
                  :E (v20 / label
                          :A (v21 / label~e.29)
                          :A (v30 / label
                                  :R (v32 / label~e.25)
                                  :E (v33 / label~e.26)
                                  :C (v34 / label~e.27))
                          :S (v31 / label~e.28))
                  :C v21))
    :L (v3 / label~e.5)
    :H (v4 / label
           :A (v10 / label~e.6)
           :D (v11 / label~e.7)
           :A (v12 / label
                   :E (v22 / label~e.8)
                   :C (v23 / label~e.9))
           :A (v13 / label
                   :R (v24 / label~e.10)
                   :C (v25 / label~e.11,12))
           :S (v14 / label~e.13)))
