# ::id 25835018
# ::tok Ein wohlbekanntes Rauschen gab mir zu erkennen , daß die Behälter sich mit Wasser füllten .
# ::alignments 0-1.1.3.1.1 1-1.1.3.2 2-1.1.3.1.2 3-1.1.4 4-1.1.5 6-1.1.7 8-1.1.1.1 9-1.1.1.2.1 10-1.1.1.2.2 11-1.1.1.3 12-1.1.1.4.1 13-1.1.1.4.2 14-1.1.1.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :R (v8 / label~e.8)
                  :A (v9 / label
                         :E (v14 / label~e.9)
                         :C (v15 / label~e.10))
                  :P (v10 / label~e.11,14)
                  :A (v11 / label
                          :R (v16 / label~e.12)
                          :C (v17 / label~e.13)))
           :A (v4 / label
                  :A (v12 / label
                          :E (v18 / label~e.0)
                          :C (v19 / label~e.2))
                  :S (v13 / label~e.1))
           :D (v5 / label~e.3)
           :A (v6 / label~e.4)
           :P (v7 / label~e.6)))
